scope,source_node_type,source_feature_index,source_feature_name,target_node_type,output_head,output_feature_index,output_feature_name,distance,count,profiles,mean_signed,mean_abs,rms,max_abs,mean_shell_l1,mean_shell_l2_energy,sum_signed,sum_abs,sum_square
test,load,0,pd,bus,0,1,vm,2,216,40,0.0006694388468228377,0.001518560448706315,0.0041702975146950625,0.024626031517982483,0.008200226423014101,9.391345934978781e-05,0.14459879091373296,0.32800905692056403,0.0037565383739915125
test,load,0,pd,bus,0,1,vm,3,392,40,-2.738745381381649e-05,0.00013426413313157224,0.0004747235459921265,0.0031314492225646973,0.001315788504689408,2.2085519621695188e-06,-0.010735881895016064,0.05263154018757632,8.834207848678074e-05
test,load,0,pd,bus,0,1,vm,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,0,40,40,0.0642362626065733,0.42190664762456437,0.6920125468532003,2.3580174446105957,0.42190664762456437,0.47888136500225276,2.5694505042629316,16.876265904982574,19.15525460009011
test,load,1,qd,bus,0,0,va,1,94,40,-0.038580844140403525,0.10319715536551233,0.2695665049918247,1.7023605108261108,0.24251331510895396,0.17076533644174252,-3.6265993491979316,9.700532604358159,6.830613457669701
test,load,1,qd,bus,0,0,va,2,216,40,0.002565944076229277,0.015481454311729639,0.04577134425248137,0.28797298669815063,0.08359985328334005,0.011313086155267459,0.5542439204655238,3.343994131333602,0.45252344621069834
test,load,1,qd,bus,0,0,va,3,392,40,-0.0001950828701846687,0.0002102131353305075,0.0009238190020579792,0.006659845821559429,0.0020600887262389733,8.363727175921326e-06,-0.07647248511239013,0.08240354904955893,0.00033454908703685305
test,load,1,qd,bus,0,0,va,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,0,va,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,0,40,40,-0.03388641662895679,0.146796457702294,0.21799289290791923,0.5746291279792786,0.146796457702294,0.047520901358363545,-1.3554566651582718,5.87185830809176,1.9008360543345417
test,load,1,qd,bus,0,1,vm,1,94,40,-0.007611415059147204,0.027043040175525907,0.04782086361864446,0.1798049509525299,0.06355114441248588,0.005374062243497535,-0.7154730155598372,2.5420457764994353,0.2149624897399014
test,load,1,qd,bus,0,1,vm,2,216,40,0.0005701569562911909,0.004789134822475363,0.012692828491608537,0.08198573440313339,0.02586132804136696,0.000869982633633903,0.12315390255889724,1.0344531216546784,0.03479930534535612
test,load,1,qd,bus,0,1,vm,3,392,40,-1.119568793344616e-05,4.31964358865246e-05,0.00014870121846826716,0.0010293046943843365,0.00042332507168794107,2.1669811326468375e-07,-0.004388709669910895,0.016933002867517644,8.66792453058735e-06
test,load,1,qd,bus,0,1,vm,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
